ID,category,model_name,source_url
1,airplane,airplane1,https://sketchfab.com/3d-models/generic-passanger-airplane-595e6cd0a58c4bc286685c441ca5da9d
2,airplane,airplane2,https://sketchfab.com/3d-models/airplane-1dbfd1d825e74106bfcbaad9e63c6fc8
3,airplane,airplane3,https://sketchfab.com/3d-models/german-ww2-airplane-02889c219be94c16879fe01b3aa9a82e
4,airplane,airplane4,https://sketchfab.com/3d-models/airplane-98f903ce92a74216bba161068812bd5d
5,airplane,airplane5,https://sketchfab.com/3d-models/low-poly-airplane-reggiane-re-2000-dea61a7bd5c7487cb74beda24c214d75
6,airplane,airplane6,https://sketchfab.com/3d-models/aviation-aircraft-airplane-model-5e888f8b4b4747428c58a0cdbd03ba31
7,airplane,airplane7,https://sketchfab.com/3d-models/low-poly-airplane-65cc7c4349174f7bbb20ed70206377b5
8,airplane,airplane8,https://sketchfab.com/3d-models/twin-engine-airplane-colomban-cri-cri-e193b5fa64bf43f0add900d12404ca1f
9,airplane,airplane9,https://sketchfab.com/3d-models/kinner-sportster-airplane-2e4dc0d62f0d431c93ed0663f959a629
10,airplane,airplane10,https://sketchfab.com/3d-models/small-airplane-941f67746e044cba80e25cc41d6801e8
11,airplane,airplane11,https://sketchfab.com/3d-models/cessna-a-37b-79f2a4e1a1a1414db6a6cd32a836be01
12,airplane,airplane13,https://sketchfab.com/3d-models/airport-airplane-e1cfa1dfa20443dfabe351e5e68efeb3
13,alarmclock,alarm_clock1,https://sketchfab.com/3d-models/alarm-clock-c42ed1677f614ea1aea316e6d10de856
14,backpack,backpack1,https://sketchfab.com/3d-models/diaper-bags-040089295e3a4ee684d4562a8fabce9f
15,backpack,backpack2,https://sketchfab.com/3d-models/large-backpack-white-texture-mockup-52cf030883e74170b47cd64f349aa7ce
16,backpack,backpack3,https://sketchfab.com/3d-models/stylized-backpack-c69921857e864a9185ec6822876f0244
17,backpack,backpack4,https://sketchfab.com/3d-models/kitty-cat-backpack-e9d992e5869e434297009d9ce933f049
18,backpack,backpack5,https://sketchfab.com/3d-models/backpack-july-daybreak-game-ready-4a912f1978db4d60ada90ca8cb0a5462
19,backpack,backpack6,https://sketchfab.com/3d-models/monarch-backpack-6cb12293d57045e39fd58cdb41922616
20,backpack,backpack7,https://sketchfab.com/3d-models/backpack-d6a5427888b8413fbfcbcaad14353af8
21,backpack,backpack8,https://sketchfab.com/3d-models/leather-backpack-a9c1dc81000f47238f20780059d6c131
22,backpack,backpack9,https://sketchfab.com/3d-models/backpack-b4ffa2a4a8844e5a8293bf687b57b349
23,basket,basket1,https://sketchfab.com/3d-models/round-fruit-basket-0224d9084cf94596b514a64800382454
24,basket,basket2,https://sketchfab.com/3d-models/basket-cbed2c4455ea4015bd74c0f25027efab
25,basket,basket3,https://sketchfab.com/3d-models/basket-pqpm1000-418bc9b5d4a04ffabdfc65df242b67c9
26,basket,basket4,https://sketchfab.com/3d-models/vintage-basket-4ec9181f5f274cacb2138714202020d1
27,basket,basket5,https://sketchfab.com/3d-models/kraf-rotan-ishak-picnic-basket-532446eaf4d6428199119201f7eab8f2
28,basket,basket6,https://sketchfab.com/3d-models/flower-basket-1357807369824a4da4922d5efff8a1fb
29,basket,basket7,https://sketchfab.com/3d-models/laundry-basket-5ed694999b6f48d6918e2c5ce21e88f8
30,basket,basket8,https://sketchfab.com/3d-models/little-reds-basket-72ab1b90076049eaba81114c86d42a91
